LocationDesc,Data_Value,Question,StratificationCategory1,Stratification1
Mississippi,33.9,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,Income,"$50,000 - $74,999"
Oklahoma,35.1,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,Race/Ethnicity,Non-Hispanic White
North Carolina,15.5,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,Income,"$25,000 - $34,999"
Florida,38.3,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,Race/Ethnicity,Asian
California,32.8,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,Education,Some college or technical school


Montana,26.2,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Income,"$75,000 or greater"
Florida,32.5,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Gender,Female
Wisconsin,26.5,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Age (years),18 - 24
North Carolina,31.0,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Income,"$25,000 - $34,999"
Washington,25.4,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Education,College graduate
Oklahoma,15.7,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Age (years),35 - 44
South Carolina,28.3,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Age (years),45 - 54
Alaska,33.1,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity,Income,"$35,000 - $49,999"
